Label,Extrema_Type,Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
PCloud,maxima,7,2024-12-03T03:54:27.600,2460647.662819444,18,264,-3,96,115.10967177863424,1932.229432638521,0.556078451871872
PCloud,maxima,8,2024-12-03T04:17:06.000,2460647.6785416664,18,251,-3,109,120.37176987828084,1940.5111196533858,0.5403921782970429
PCloud,maxima,9,2024-12-03T04:56:33.184,2460647.705939626,6,230,9,130,137.1328984092,1953.555276604365,0.39807923776762827
PCloud,maxima,10,2024-12-03T05:32:45.849,2460647.7310862155,15,205,0,155,122.49116244408079,1919.9736203539044,0.5371069413311076
PCloud,maxima,11,2024-12-03T05:36:49.412,2460647.733905229,22,202,-7,158,97.33677252152462,1905.372615915446,0.5653979497797349
PCloud,maxima,12,2024-12-03T06:01:20.280,2460647.7509291666,23,187,-8,173,104.2251151091998,1950.5278052384126,0.4693333405256272
PCloud,maxima,13,2024-12-03T06:14:33.849,2460647.7601139937,9,180,6,180,141.09906652745423,1951.3530479453257,0.44979652537489834
PCloud,maxima,14,2024-12-03T06:21:04.941,2460647.764640523,20,175,-5,185,116.50640018923069,1922.641126557473,0.5314110149355497
PCloud,maxima,15,2024-12-03T06:50:40.200,2460647.7851875,20,159,-5,201,122.65835590495335,2036.3843319074952,0.5421176713705063
PCloud,maxima,16,2024-12-03T07:11:54.000,2460647.7999305557,20,138,-5,222,113.2037072403679,1979.0214896433579,0.5628885961160428
PCloud,maxima,17,2024-12-03T00:19:27.000,2460647.5135069443,17,121,-2,239,121.01036527028795,1905.0628519787283,0.563725508749485
PCloud,maxima,18,2024-12-03T00:19:27.000,2460647.5135069443,6,121,9,239,118.87281293342086,1895.4852284067001,0.40980392694473267
PCloud,maxima,19,2024-12-02T17:42:58.865,2460647.2381813065,16,109,-1,251,122.98759689638406,1915.03911486345,0.5319555047396067
PCloud,maxima,20,2024-12-02T07:37:39.450,2460646.817817708,18,88,-3,272,120.38916660407473,1986.0058725310957,0.5296078659594059
PCloud,maxima,21,2024-12-02T03:39:11.510,2460646.652216553,17,66,-2,294,115.38396054955253,1984.2763743447524,0.5294918168564231
PCloud,maxima,22,2024-12-02T03:40:21.600,2460646.6530277776,25,65,-10,295,105.57446862516444,1944.2824897006515,0.5108235502243041
