#  WV (nm)   Kark1994  MUSE 0730  MUSE 0919     T620       T632       T647       T656       CH4        NH3
   634.500  0.5205750  0.4841101  0.5377773  0.0000000  0.8688586  0.0000000  0.0000000  0.0036250  0.1440232
   635.000  0.5203500  0.4834733  0.5382717  0.0000000  0.8058525  0.0000000  0.0000000  0.0039000  0.1585330
   635.500  0.5202750  0.4835110  0.5382788  0.0000000  0.6759949  0.0000000  0.0000000  0.0045500  0.1828503
   636.000  0.5195000  0.4833819  0.5373974  0.0000000  0.4775180  0.0000000  0.0000000  0.0054000  0.2071677
   636.500  0.5196750  0.4840523  0.5367113  0.0000000  0.2717364  0.0042221  0.0000000  0.0062750  0.2274546
   637.000  0.5191000  0.4847087  0.5374734  0.0000000  0.1367139  0.0061622  0.0000000  0.0070500  0.2477414
   637.500  0.5189000  0.4849570  0.5382868  0.0000000  0.0659880  0.0087401  0.0000000  0.0074500  0.2501597
   638.000  0.5189000  0.4856326  0.5378275  0.0000000  0.0347157  0.0136968  0.0045456  0.0082000  0.2525780
   638.500  0.5182750  0.4850834  0.5382324  0.0000000  0.0177883  0.0228144  0.0050829  0.0101000  0.2541902
   639.000  0.5173000  0.4851144  0.5369066  0.0000000  0.0109392  0.0387850  0.0054349  0.0119000  0.2558024
   639.500  0.5162500  0.4840992  0.5365837  0.0000000  0.0054811  0.0694973  0.0053418  0.0131000  0.2649382
   640.000  0.5156000  0.4831599  0.5367336  0.0000000  0.0037011  0.1274256  0.0057562  0.0147000  0.2740740
   640.500  0.5161250  0.4824403  0.5363887  0.0000000  0.0000000  0.2137918  0.0070490  0.0167000  0.2821350
   641.000  0.5149000  0.4811871  0.5359745  0.0000000  0.0000000  0.3334589  0.0079168  0.0202000  0.2901960
   641.500  0.5130000  0.4799386  0.5339572  0.0000000  0.0000000  0.4934366  0.0088812  0.0234000  0.3546840
   642.000  0.5096000  0.4781901  0.5314956  0.0000000  0.0000000  0.6825904  0.0101329  0.0260000  0.4191720
   642.500  0.5062250  0.4749963  0.5276678  0.0000000  0.0000000  0.8621434  0.0115413  0.0280000  0.8289395
   643.000  0.5004500  0.4717877  0.5225176  0.0000000  0.0000000  0.9641572  0.0133917  0.0279000  1.2387070
   643.500  0.4922000  0.4675779  0.5173387  0.0000000  0.0000000  0.9913097  0.0150056  0.0266000  2.2584235
   644.000  0.4835000  0.4636260  0.5118709  0.0000000  0.0000000  0.9927572  0.0171441  0.0243000  3.2781400
   644.500  0.4771000  0.4633114  0.5091878  0.0000000  0.0000000  0.9991336  0.0197743  0.0222750  4.0305000
   645.000  0.4763000  0.4630892  0.5088822  0.0000000  0.0000000  0.9820093  0.0227233  0.0220000  4.7828600
   645.500  0.4836750  0.4635565  0.5113755  0.0000000  0.0000000  0.9905666  0.0268475  0.0224750  4.6485100
   646.000  0.4941000  0.4638873  0.5140438  0.0000000  0.0000000  0.9972559  0.0315280  0.0234000  4.5141600
   646.500  0.4963500  0.4634214  0.5135048  0.0000000  0.0000000  0.9987889  0.0371726  0.0229000  4.3798100
   647.000  0.4854500  0.4630527  0.5121696  0.0000000  0.0000000  1.0000000  0.0440839  0.0210500  4.2454600
   647.500  0.4743250  0.4630769  0.5100764  0.0000000  0.0000000  0.9901596  0.0517946  0.0201000  4.4201150
   648.000  0.4797000  0.4634734  0.5103061  0.0000000  0.0000000  0.9849564  0.0621028  0.0233000  4.5947700
   648.500  0.4881000  0.4658762  0.5125899  0.0000000  0.0000000  0.9722754  0.0742902  0.0284500  4.1514150
   649.000  0.4898000  0.4682697  0.5151505  0.0000000  0.0000000  0.9587427  0.0908042  0.0324500  3.7080600
   649.500  0.4924000  0.4728142  0.5158285  0.0000000  0.0000000  0.9205897  0.1088798  0.0356250  3.1196070
   650.000  0.4965000  0.4768052  0.5202515  0.0000000  0.0000000  0.9253429  0.1368464  0.0379000  2.5311540
   650.500  0.4993250  0.4795791  0.5229668  0.0000000  0.0000000  0.8708050  0.1678264  0.0394500  2.1616915
   651.000  0.4999000  0.4819019  0.5253636  0.0000000  0.0000000  0.7516877  0.1994110  0.0400000  1.7922290
   651.500  0.5009250  0.4828879  0.5281080  0.0000000  0.0000000  0.5976986  0.2404427  0.0390500  1.4791935
   652.000  0.5041000  0.4841486  0.5275963  0.0000000  0.0000000  0.4251709  0.2929245  0.0382000  1.1661580
   652.500  0.5063250  0.4853113  0.5292930  0.0000000  0.0000000  0.2566301  0.3509865  0.0397750  0.9297020
   653.000  0.5084000  0.4877875  0.5309473  0.0000000  0.0000000  0.1354288  0.4082802  0.0430000  0.6932460
   653.500  0.5087500  0.4901947  0.5325626  0.0000000  0.0000000  0.0700094  0.4717713  0.0478750  0.5790485
   654.000  0.5089000  0.4948660  0.5330743  0.0000000  0.0000000  0.0376407  0.5361923  0.0534000  0.4648510
   654.500  0.5088000  0.4967307  0.5404128  0.0000000  0.0000000  0.0209100  0.5901400  0.0586000  0.4084240
   655.000  0.5097000  0.4998356  0.5387492  0.0000000  0.0000000  0.0127790  0.6668983  0.0616500  0.3519970
   655.500  0.5100000  0.5007543  0.5377836  0.0000000  0.0000000  0.0082526  0.7399354  0.0674750  0.3210965
   656.000  0.5067000  0.4993803  0.5374548  0.0000000  0.0000000  0.0062544  0.7853110  0.0831000  0.2901960
   656.500  0.5112500  0.5049504  0.5273470  0.0000000  0.0000000  0.0047373  0.8687444  0.0852250  0.2764923
   657.000  0.5121000  0.5062446  0.5402891  0.0000000  0.0000000  0.0039953  1.0000000  0.0784500  0.2627886
   657.500  0.5112250  0.5084897  0.5424083  0.0000000  0.0000000  0.0000000  0.9366475  0.0776750  0.2461292
   658.000  0.5104000  0.5085911  0.5442613  0.0000000  0.0000000  0.0000000  0.9056444  0.0822000  0.2294698
   658.500  0.5107000  0.5048345  0.5445042  0.0000000  0.0000000  0.0000000  0.8603317  0.0856250  0.2120043
   659.000  0.5099000  0.5022415  0.5381457  0.0000000  0.0000000  0.0000000  0.8077829  0.0904500  0.1945388
   659.500  0.5101500  0.4988846  0.5373298  0.0000000  0.0000000  0.0000000  0.7387998  0.0943000  0.1789542
   660.000  0.5110000  0.4971890  0.5378263  0.0000000  0.0000000  0.0000000  0.6694102  0.0929000  0.1633696
   660.500  0.5104750  0.4960887  0.5381326  0.0000000  0.0000000  0.0000000  0.5825056  0.0933500  0.1467102
   661.000  0.5105500  0.4957083  0.5383322  0.0000000  0.0000000  0.0000000  0.4986646  0.0966500  0.1300508
   661.500  0.5099500  0.4956626  0.5392118  0.0000000  0.0000000  0.0000000  0.4240084  0.1023500  0.1139288
   662.000  0.5087000  0.4960094  0.5384496  0.0000000  0.0000000  0.0000000  0.3526156  0.1106000  0.0978068
   662.500  0.5065000  0.4952485  0.5390426  0.0000000  0.0000000  0.0000000  0.2929456  0.1211750  0.0831627
   663.000  0.5059000  0.4946886  0.5388115  0.0000000  0.0000000  0.0000000  0.2419906  0.1290000  0.0685185
   663.500  0.5068750  0.4945138  0.5381964  0.0000000  0.0000000  0.0000000  0.2002204  0.1304500  0.0560240
   664.000  0.5059000  0.4941339  0.5398890  0.0000000  0.0000000  0.0000000  0.1689816  0.1321000  0.0435294
   664.500  0.5049500  0.4940883  0.5400333  0.0000000  0.0000000  0.0000000  0.1391491  0.1342000  0.0348101
   665.000  0.5057000  0.4937408  0.5404854  0.0000000  0.0000000  0.0000000  0.1168131  0.1366000  0.0260908
   665.500  0.5046500  0.4924024  0.5394198  0.0000000  0.0000000  0.0000000  0.0980800  0.1506250  0.0211064
   666.000  0.5012000  0.4909392  0.5372767  0.0000000  0.0000000  0.0000000  0.0827163  0.1718000  0.0161220
