Date,Camera,Map,380NUV,450BLU,467HeII,501OIII,550GRN,550OPN,620CH4,632OI,647,650RED,656HIA,658NII,672SII,685NIR,730OII,742NIR,807NIR,889CH4,940NIR,1000NIR
20200925UT,,2020-09-25-Jupiter-NH3_CMII_327-Map.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200930UT,CMOS,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20201005UT,CMOS,,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20201007UT,CCD,,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
20201008UT,CCD,,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0
20201009UT,CCD,,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0
20201014UT,CMOS,,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20210622UT,CMOS,2021-06-22-Jupiter-NH3_CMII_111-Map.png,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
20210708UT,CMOS,2021-07-08-Jupiter-NH3_CMII_354-Map.png,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
20210719UT,CMOS,2021-07-19-Jupiter-NH3_CMII_214-Map.png,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
20210720UT,CMOS,2021-07-20-Jupiter-NH3_CMII_013-Map.png,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
20210812UT,CCD,,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0
20210817UT,CCD,,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0
20210830UT,CCD,,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0
20210905UT,CCD,2021-09-05-Jupiter-NH3_CMII_003-Map.png,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0
20210906UT,CCD,,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0
20210910UT,CMOS,2021-09-10-Jupiter-NH3_CMII_024-Map.png,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
20210913UT,CMOS,2021-09-13-CustomMap.png,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
20210915UT,CMOS,2021-09-15-Jupiter-NH3_CMII_040-Map.png,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
20210919UT,CMOS,2021-09-19-Jupiter-NH3_CMII_329-Map.png,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
20210920UT,CMOS,2021-09-20-Jupiter-NH3_CMII_080-Map.png,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
20210923UT,CMOS,2021-09-23-Jupiter-NH3_CMII_190-Map.png,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
20210926UT,CMOS,2021-09-26-Jupiter-NH3_CMII_280-Map.png,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
20210927UT,CMOS,2021-09-27-Jupiter-NH3_CMII_022-Map.png,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
20211017UT,CMOS,2021-10-17-Jupiter-NH3_CMII_179-Map.png,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0
20211019UT,CMOS,2021-10-19-Jupiter-NH3_CMII_119-Map.png,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0
20211022UT,CMOS,2021-10-22-Jupiter-NH3_CMII_180-Map.png,0,1,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0
20211122UT,CCD,,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
20211123UT,,2021-11-23-Jupiter-NH3_CMII_244-Map.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20211130UT,,2021-11-30-Jupiter-NH3_CMII_203-Map.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20211202UT,CMOS,2021-12-02-Jupiter-NH3_CMII_114-Map.png,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0
20211203UT,CMOS,2021-12-03-Jupiter-NH3_CMII_265-Map.png,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0
20220730UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220810UT,CMOS,2022-08-10-Jupiter-NH3_CMII_346-Map.png,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0
20220812UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0
20220818UT,CMOS,2022-08-18-Jupiter-NH3_CMII_013-Map.png,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0
20220828UT,CMOS,,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0
20220830UT,CMOS,,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0
20220901UT,CMOS,,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0
20220904UT,CMOS,,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0
20220905UT,CMOS,,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0
20220912UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20220913UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20220919UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20220925UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20221009UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20221013UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20221019UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20221020UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20221021UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20221031UT,CCD,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20221101UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20221109UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20221121UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230113UT,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20230815UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20230816UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20230817UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20230818UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20230827UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20230830UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20230831UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20230905UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20230906UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20230922UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20230924UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20230929UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231005UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231006UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231015UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231017UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231019UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231022UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231023UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231024UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231026UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231103UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231107UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231110UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231112UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231113UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231115UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231128UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231129UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231206UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231207UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231217UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231218UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20231229UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20240129UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
20240130UT,CMOS,,0,1,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
