observation,analysis,n_clusters,variable,cluster,mean,stddev
20251016UTa-NEZ-A1,AOI_CI,5,CI,1,0.51466936,0.04296854
20251016UTa-NEZ-A1,AOI_CI,5,CI,2,0.65152645,0.024898577
20251016UTa-NEZ-A1,AOI_CI,5,CI,3,0.5459746,0.046761002
20251016UTa-NEZ-A1,AOI_CI,5,CI,4,0.45421624,0.013880453
20251016UTa-NEZ-A1,AOI_CI,5,CI,5,0.66484934,0.030742861
20251016UTa-NEZ-A1,AOI_CI,6,AOI,1,0.17624208,0.009459647
20251016UTa-NEZ-A1,AOI_CI,6,AOI,2,0.25737408,0.012534334
20251016UTa-NEZ-A1,AOI_CI,6,AOI,3,0.2795473,0.022558695
20251016UTa-NEZ-A1,AOI_CI,6,AOI,4,0.20872356,0.01695109
20251016UTa-NEZ-A1,AOI_CI,6,AOI,5,0.2925751,0.017096324
20251016UTa-NEZ-A1,AOI_CI,6,AOI,6,0.2331079,0.010933146
20251016UTa-NEZ-A1,AOI_CI,6,CI,1,0.45452717,0.014223215
20251016UTa-NEZ-A1,AOI_CI,6,CI,2,0.68144315,0.025769208
20251016UTa-NEZ-A1,AOI_CI,6,CI,3,0.5248651,0.03550042
20251016UTa-NEZ-A1,AOI_CI,6,CI,4,0.5187357,0.046271674
20251016UTa-NEZ-A1,AOI_CI,6,CI,5,0.6221365,0.024499001
20251016UTa-NEZ-A1,AOI_CI,6,CI,6,0.64669675,0.0133579
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,275,1,0.32088673,0.006368051
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,275,2,0.31223395,0.006808034
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,275,3,0.29518574,0.010325836
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,275,4,0.3017405,0.0092663225
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,395,1,0.27546164,0.012953311
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,395,2,0.46573335,0.015092569
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,395,3,0.4020203,0.057864193
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,395,4,0.36943805,0.051987495
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,502,1,0.43661034,0.025549164
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,502,2,0.66599804,0.020652127
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,502,3,0.6156661,0.06197201
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,502,4,0.55671346,0.05186858
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,619,1,0.511305,0.020872178
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,619,2,0.598622,0.021947015
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,619,3,0.6153783,0.048424736
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,619,4,0.5200017,0.03661334
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,631,1,0.60280466,0.021508718
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,631,2,0.7039126,0.024502164
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,631,3,0.70594835,0.05098711
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,631,4,0.62067664,0.03446086
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,645,1,0.584884,0.021728165
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,645,2,0.6489161,0.0247326
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,645,3,0.6784269,0.05140788
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,645,4,0.57686883,0.039203394
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,673,1,0.63050985,0.019460749
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,673,2,0.7120901,0.02244014
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,673,3,0.7188053,0.04797143
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,673,4,0.638401,0.031585343
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,727,1,0.2856693,0.0097894985
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,727,2,0.32620448,0.008463863
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,727,3,0.35101038,0.026535064
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,727,4,0.2897708,0.018913923
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,889,1,0.05780243,0.0037427903
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,889,2,0.07625556,0.0040960596
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,889,3,0.086499035,0.006837636
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,4,889,4,0.07104441,0.007294811
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,275,1,0.29209688,0.006978285
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,275,2,0.3208018,0.006502159
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,275,3,0.30175477,0.0104311695
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,275,4,0.30686194,0.0051879087
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,275,5,0.31367186,0.006847137
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,395,1,0.36592424,0.046295997
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,395,2,0.2752826,0.012735723
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,395,3,0.35425973,0.038806498
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,395,4,0.45738366,0.018211646
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,395,5,0.46664444,0.015278533
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,502,1,0.5765551,0.055306625
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,502,2,0.4364761,0.025361124
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,502,3,0.54206806,0.04382047
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,502,4,0.6459006,0.024791775
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,502,5,0.6706332,0.02031975
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,619,1,0.5889827,0.044991933
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,619,2,0.51146513,0.020873174
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,619,3,0.5128368,0.03770528
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,619,4,0.571062,0.04488336
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,619,5,0.60500777,0.01962643
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,631,1,0.68114495,0.047692187
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,631,2,0.6029378,0.021516161
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,631,3,0.6122895,0.035000216
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,631,4,0.67304355,0.038686324
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,631,5,0.7116999,0.021664204
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,645,1,0.65569615,0.046929404
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,645,2,0.58509225,0.02175868
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,645,3,0.5717598,0.039692335
