x,y,dx_px,dy_px,speed_m_s,dir_from_deg
330.0,0.0,14.37868881225586,0.38676339387893677,49.854992166089936,268.4592080440503
335.0,0.0,15.784411430358887,-0.23105457425117493,54.71510416954617,270.8386442892375
340.0,0.0,14.962060928344727,-0.5518198013305664,51.89420958983282,272.11218374854707
345.0,0.0,14.775141716003418,-0.9470527768135071,51.31617694641372,273.66751118172976
0.0,5.0,-1.8320316076278687,-1.818017840385437,8.945801648171601,45.21997668369835
5.0,5.0,-2.125488519668579,-1.940150260925293,9.974632363477733,47.61010723895504
10.0,5.0,-1.9623799324035645,-1.6153453588485718,8.809633420951,50.540281758214974
15.0,5.0,-1.4680520296096802,-1.3895163536071777,7.006125381852502,46.574286155357925
20.0,5.0,-2.0862762928009033,-0.7586925029754639,7.6944015834255906,70.01576369174785
25.0,5.0,-1.3161325454711914,-0.1875152885913849,4.6078217164003386,81.89138575127629
