id_raw,xcenter_raw,ycenter_raw,aperture_sum_raw,aperture_sum_bkg,net_count_rate,Target,Filter,Date-Obs,SessionID
4,1382.0,461.0,2943071.973182101,3670777.2348485664,54018.29345220305,4_Callisto,656HIA,2021-08-17T05:24:07,20210817UT
1,828.0,829.0,58731546.89547563,25524907.994846646,1191204.4762501896,0_Jupiter,889CH4,2021-08-17T05:45:21,20210817UT
1,968.0,726.0,1623658.6605592952,3560869.699407622,9611.084109381229,2_Europa,889CH4,2021-08-17T05:45:21,20210817UT
2,988.0,717.0,1529496.865216614,3566937.2195736775,6396.513595882834,1_Io,889CH4,2021-08-17T05:45:21,20210817UT
3,1346.0,476.0,1750390.7883014958,3535018.3673542626,14158.63001812158,3_Ganymede,889CH4,2021-08-17T05:45:21,20210817UT
4,1382.0,461.0,1509878.8581863504,3530575.82696125,6197.097435862718,4_Callisto,889CH4,2021-08-17T05:45:21,20210817UT
1,828.0,829.0,103874916.83813857,24987860.46837148,2805632.0976067823,0_Jupiter,940NIR,2021-08-17T05:45:43,20210817UT
1,968.0,726.0,1352467.9664818067,3435907.966118109,2206.9820409488207,2_Europa,940NIR,2021-08-17T05:45:43,20210817UT
2,988.0,717.0,1332283.7603608614,3440149.10675329,1456.1325975302607,1_Io,940NIR,2021-08-17T05:45:43,20210817UT
3,1346.0,476.0,1380690.8763687147,3411460.494667088,3496.3169265019565,3_Ganymede,940NIR,2021-08-17T05:45:43,20210817UT
4,1382.0,461.0,1325286.5229192362,3411569.3388159806,1584.4145125256418,4_Callisto,940NIR,2021-08-17T05:45:43,20210817UT
1,877.0,534.0,4277574282.527656,35050733.69655856,136967646.61171576,0_Jupiter,632OI,2021-08-30T04:02:57,20210830UT
1,249.0,980.0,3202795.6222629864,3789885.2715589404,57470.60146543173,4_Callisto,632OI,2021-08-30T04:02:57,20210830UT
2,682.0,657.0,5154257.943088944,3959861.3456948735,118364.83672430215,1_Io,632OI,2021-08-30T04:02:57,20210830UT
3,964.0,472.0,6248356.488035924,4562424.926733537,146369.26259712412,3_Ganymede,632OI,2021-08-30T04:02:57,20210830UT
4,1035.0,424.0,4058500.2085720287,3972255.8098186925,82867.87999645222,2_Europa,632OI,2021-08-30T04:02:57,20210830UT
1,877.0,534.0,4009039367.839345,36263807.35507217,124261539.72259574,0_Jupiter,647CNT,2021-08-30T04:03:14,20210830UT
1,249.0,980.0,3190280.9806166235,3877527.935497578,54256.50015015724,4_Callisto,647CNT,2021-08-30T04:03:14,20210830UT
2,682.0,657.0,5252569.304803371,4069857.0781392157,116449.15314066142,1_Io,647CNT,2021-08-30T04:03:14,20210830UT
3,964.0,472.0,6207850.618623305,4722294.4486188125,138655.94376222658,3_Ganymede,647CNT,2021-08-30T04:03:14,20210830UT
4,1035.0,424.0,4057161.536012294,4079990.778015996,78973.90607050923,2_Europa,647CNT,2021-08-30T04:03:14,20210830UT
1,877.0,534.0,3056733869.1407337,35419183.175203584,97574990.16480705,0_Jupiter,656HIA,2021-08-30T04:03:36,20210830UT
1,249.0,980.0,2709763.550349823,3736453.20327277,42212.696745888206,4_Callisto,656HIA,2021-08-30T04:03:36,20210830UT
2,682.0,657.0,4259746.441126143,3983730.194211836,89220.89091279691,1_Io,656HIA,2021-08-30T04:03:36,20210830UT
3,964.0,472.0,5009635.523111163,4680559.869403897,104981.47006724843,3_Ganymede,656HIA,2021-08-30T04:03:36,20210830UT
4,1035.0,424.0,3378373.400348996,4014370.5501844194,60418.8530332206,2_Europa,656HIA,2021-08-30T04:03:36,20210830UT
1,877.0,534.0,53500279.07977623,24402368.87250707,1086764.240635121,0_Jupiter,889CH4,2021-08-30T04:26:04,20210830UT
1,249.0,980.0,1405862.7132813316,3363243.106209466,4987.812015613172,4_Callisto,889CH4,2021-08-30T04:26:04,20210830UT
2,682.0,657.0,1400608.5424488022,3385284.0624875743,4521.621345377993,1_Io,889CH4,2021-08-30T04:26:04,20210830UT
3,964.0,472.0,1616082.7971562624,3377563.1800295836,12051.607056729954,3_Ganymede,889CH4,2021-08-30T04:26:04,20210830UT
4,1035.0,424.0,1465893.7626902994,3371381.881571466,6952.6054172758495,2_Europa,889CH4,2021-08-30T04:26:04,20210830UT
1,877.0,534.0,77338616.31148663,24413091.711751573,1908442.7584342526,0_Jupiter,940NIR,2021-08-30T04:26:23,20210830UT
1,249.0,980.0,1280489.1932762172,3346982.9903382855,874.8473068744923,4_Callisto,940NIR,2021-08-30T04:26:23,20210830UT
2,682.0,657.0,1294407.2717842981,3359672.246501998,1190.6958395189301,1_Io,940NIR,2021-08-30T04:26:23,20210830UT
3,964.0,472.0,1327887.667527563,3367921.7696306016,2238.5173764168044,3_Ganymede,940NIR,2021-08-30T04:26:23,20210830UT
4,1035.0,424.0,1294474.8236249858,3353192.3529220796,1276.8169406622744,2_Europa,940NIR,2021-08-30T04:26:23,20210830UT
1,886.0,436.0,5737093504.754335,37494261.37784801,196666030.72070408,0_Jupiter,632OI,2021-09-05T04:08:43,20210905UT
1,501.0,710.0,7741419.305834044,3876523.646374607,216818.03236012295,3_Ganymede,632OI,2021-09-05T04:08:43,20210905UT
2,559.0,663.0,5267635.011184523,3853571.2902930286,131811.923356022,2_Europa,632OI,2021-09-05T04:08:43,20210905UT
3,981.0,372.0,6320192.406012796,4533336.475502324,159316.93888618704,1_Io,632OI,2021-09-05T04:08:43,20210905UT
1,886.0,436.0,4934872803.678415,36282364.12975705,175078071.04096794,0_Jupiter,647CNT,2021-09-05T04:08:55,20210905UT
1,501.0,710.0,7084469.646030474,3707847.100427109,203358.1065489396,3_Ganymede,647CNT,2021-09-05T04:08:55,20210905UT
2,559.0,663.0,4846219.889041821,3687060.370316969,123699.00893474846,2_Europa,647CNT,2021-09-05T04:08:55,20210905UT
3,981.0,372.0,5835985.646213045,4381999.923833338,149740.55981341228,1_Io,647CNT,2021-09-05T04:08:55,20210905UT
1,886.0,436.0,4125464425.0497355,39188473.168074034,136338649.8089229,0_Jupiter,656HIA,2021-09-05T04:09:21,20210905UT
1,501.0,710.0,6055307.488859829,3954828.0425069374,152408.23243065755,3_Ganymede,656HIA,2021-09-05T04:09:21,20210905UT
2,559.0,663.0,4282902.207430046,3938330.619918812,93534.27416534972,2_Europa,656HIA,2021-09-05T04:09:21,20210905UT
3,981.0,372.0,5334094.372751058,4850468.32860549,117172.29165079998,1_Io,656HIA,2021-09-05T04:09:21,20210905UT
1,886.0,436.0,48154066.39190701,20848823.51168368,1277014.891630752,0_Jupiter,889CH4,2021-09-05T04:32:43,20210905UT
1,501.0,710.0,1411651.5133980848,2874431.4552728017,14510.422507425406,3_Ganymede,889CH4,2021-09-05T04:32:43,20210905UT
2,559.0,663.0,1283414.1976079182,2876184.524826548,8906.304382520111,2_Europa,889CH4,2021-09-05T04:32:43,20210905UT
3,981.0,372.0,1188442.8271886487,2897843.7093529915,4423.97548614248,1_Io,889CH4,2021-09-05T04:32:43,20210905UT
1,886.0,436.0,67151244.23934492,19174112.922864858,2375108.0301504936,0_Jupiter,940NIR,2021-09-05T04:32:45,20210905UT
1,501.0,710.0,1041868.1380534114,2624292.4272595113,2750.4037062425964,3_Ganymede,940NIR,2021-09-05T04:32:45,20210905UT
