id_raw,xcenter_raw,ycenter_raw,aperture_sum_raw,aperture_sum_bkg,net_count_rate,Target,Filter,Date-Obs,SessionID
1,807.0,674.0,2441867089.1269093,34633466.64934498,160088039.43908083,0_Jupiter,656HIA,2022-11-01T03:49:50,20221101UT
1,382.0,467.0,2277064.4568897495,3745865.551644436,58157.65833487239,4_Callisto,656HIA,2022-11-01T03:49:50,20221101UT
2,1344.0,997.0,4157482.71596041,3658403.980771072,185705.41487808386,3_Ganymede,656HIA,2022-11-01T03:49:50,20221101UT
1,807.0,674.0,2530775373.308567,33528657.934452355,171829124.85247695,0_Jupiter,632OI,2022-11-01T03:50:28,20221101UT
1,382.0,467.0,2249748.8146739476,3623574.633604528,61441.953591189624,4_Callisto,632OI,2022-11-01T03:50:28,20221101UT
2,1344.0,997.0,4159534.614872707,3539909.8313875995,195315.06400705912,3_Ganymede,632OI,2022-11-01T03:50:28,20221101UT
1,807.0,674.0,2536131435.0077314,33507475.21149516,172200218.7134823,0_Jupiter,620CH4,2022-11-01T03:50:44,20221101UT
1,382.0,467.0,2279354.7188144336,3627873.9904347663,63372.54982078594,4_Callisto,620CH4,2022-11-01T03:50:44,20221101UT
2,1344.0,997.0,4225992.825531593,3539835.9194956496,199900.30039453268,3_Ganymede,620CH4,2022-11-01T03:50:44,20221101UT
1,807.0,674.0,2471330912.358331,33652457.961901516,167719511.22711572,0_Jupiter,647NH3,2022-11-01T03:50:59,20221101UT
1,382.0,467.0,2232302.3153126137,3619921.1558593162,60333.23323209449,4_Callisto,647NH3,2022-11-01T03:50:59,20221101UT
2,1344.0,997.0,4101479.8335509887,3525979.361028755,191671.55677001417,3_Ganymede,647NH3,2022-11-01T03:50:59,20221101UT
1,807.0,674.0,2112135831.8627243,31882094.371883392,148200746.6489918,0_Jupiter,730OII,2022-11-01T03:51:24,20221101UT
1,382.0,467.0,2088068.499881146,3488022.680121753,55718.571059677764,4_Callisto,730OII,2022-11-01T03:51:24,20221101UT
2,1344.0,997.0,3758329.282947736,3400906.075704027,177356.39318276613,3_Ganymede,730OII,2022-11-01T03:51:24,20221101UT
1,641.0,586.0,2282127882.829029,23642284.100616343,225444911.1199039,0_Jupiter,620CH4,2022-11-09T02:26:31,20221109UT
1,970.0,785.0,2670422.6554493,2621823.2535473723,168723.89353690355,2_Europa,620CH4,2022-11-09T02:26:31,20221109UT
2,1044.0,810.0,3622406.183618717,2631832.759289612,263546.8898885112,3_Ganymede,620CH4,2022-11-09T02:26:31,20221109UT
3,1165.0,856.0,1796590.369810367,2594245.02074559,82374.84870307708,4_Callisto,620CH4,2022-11-09T02:26:31,20221109UT
1,641.0,586.0,1585919421.6004953,24886661.497235604,148265125.51394424,0_Jupiter,656HIA,2022-11-09T02:26:39,20221109UT
1,970.0,785.0,2049563.4530392182,2726578.5679831957,97818.71333766857,2_Europa,656HIA,2022-11-09T02:26:39,20221109UT
2,1044.0,810.0,2670537.697338254,2742413.528484903,156393.58325299196,3_Ganymede,656HIA,2022-11-09T02:26:39,20221109UT
3,1165.0,856.0,1533261.487497305,2718411.8662560214,48938.76549059971,4_Callisto,656HIA,2022-11-09T02:26:39,20221109UT
