Tag,label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max,Threshold,HW,Boxcar,Fit
,1,2460647.617,2024-12-03T02:48:18.000,1,0,-14,39,-14,39,1955.196599,1955.196599,1955.196599,101.3008436,101.3008436,101.3008436,,,,
,2,2460647.617,2024-12-03T02:48:18.000,45,0.675611921,-7.177777778,39.2,-7.173034506,39.19970154,1963.632797,1950.159529,1984.693478,110.4482371,97.52754193,122.1494157,,,,
,3,2460647.617,2024-12-03T02:48:18.000,3,0.816496581,-13.33333333,41.66666667,-13.3338877,41.66703898,1954.225805,1952.04308,1957.475907,98.99604606,98.09128431,99.53979907,,,,
,4,2460647.621,2024-12-03T02:54:49.875,9,0.947326937,-13.55555556,46.66666667,-13.55575854,46.66682618,1960.215605,1956.120147,1963.929546,100.0470149,98.82310683,102.0277317,,,,
,5,2460647.631,2024-12-03T03:09:12.000,346,0.950821145,-2.878612717,68.75433526,-2.8655905,68.72964576,2019.546642,1950.005728,2131.965994,130.326586,105.0437969,141.5606823,,,,
3,6,2460647.71,2024-12-03T05:02:22.800,3,0.816496581,8.666666667,133.3333333,8.66650924,133.3328326,1954.383072,1951.447118,1956.396012,138.9502884,132.6419238,146.2373125,,,,
,7,2460647.749,2024-12-03T05:58:49.800,1,0,-8,174,-8,174,1953.008284,1953.008284,1953.008284,102.4251445,102.4251445,102.4251445,,,,
,8,2460647.754,2024-12-03T06:05:06.000,1,0,-14,176,-14,176,1951.487455,1951.487455,1951.487455,101.2609354,101.2609354,101.2609354,,,,
,9,2460647.754,2024-12-03T06:05:06.000,3,0.816496581,-7.666666667,176.3333333,-7.666980758,176.3333099,1951.947935,1950.108665,1953.924651,106.5739463,104.4794623,109.3658407,,,,
,10,2460647.76,2024-12-03T06:14:33.849,1,0,6,183,6,183,1951.353048,1951.353048,1951.353048,141.0990665,141.0990665,141.0990665,,,,
,11,2460647.783,2024-12-03T06:46:54.000,6,1,15,202.5,15,202.5007308,1958.250407,1951.528018,1971.597981,77.05381964,74.39907188,80.49116073,,,,
,12,2460647.783,2024-12-03T06:46:54.000,57,0.759852032,-4.263157895,203.4736842,-4.266238888,203.4792087,1986.875093,1951.960226,2036.384332,122.6324674,106.4798514,136.7413909,,,,
,13,2460647.798,2024-12-03T07:08:46.227,25,0.88289985,-5.6,222.48,-5.599471786,222.4805376,1959.363587,1950.371413,1970.401597,108.9086138,95.84866101,117.9834703,,,,
,14,2460646.899,2024-12-02T09:34:43.610,95,0.777408592,-5.589473684,264.8526316,-5.585953052,264.8541767,1965.184129,1950.55025,1984.422433,113.3920293,102.771524,126.5432905,,,,
,15,2460646.649,2024-12-02T03:34:00.000,42,0.919437483,-1.261904762,288.8809524,-1.26082497,288.8824242,1964.161363,1951.032255,1986.223617,118.1373429,109.5264402,124.5126051,,,,
,16,2460646.7,2024-12-02T04:48:03.000,237,0.978266297,-10.71729958,337.0421941,-10.7218805,337.0780606,1982.255509,1950.301095,2024.085478,105.2613523,92.13832235,127.0262529,,,,
,17,2460646.7,2024-12-02T04:48:03.000,2,1,15,341.5,15,341.4998613,1956.376866,1955.834332,1956.9194,79.84239064,79.77234127,79.91244,,,,
,18,2460646.701,2024-12-02T04:48:56.743,1,0,15,345,15,345,1952.072641,1952.072641,1952.072641,77.7665158,77.7665158,77.7665158,,,,
,19,2460646.707,2024-12-02T04:58:30.000,5,1,15,350,15,350.003621,1956.987562,1950.033772,1966.439719,77.3931094,75.67232734,79.06967707,,,,
,20,2460646.707,2024-12-02T04:58:30.000,90,0.932588785,-2.877777778,352.0111111,-2.876784452,352.0351884,2004.927923,1951.868879,2079.888814,119.7725857,100.7299909,128.7031345,,,,
,21,2460646.707,2024-12-02T04:58:30.000,1,0,15,355,15,355,1950.855037,1950.855037,1950.855037,75.25577658,75.25577658,75.25577658,,,,
,1,2460649.627,2024-12-05T03:03:06.000,1,0,-11,5,-11,5,1951.495578,1951.495578,1951.495578,105.1924999,105.1924999,105.1924999,,,,
,2,2460649.627,2024-12-05T03:03:06.000,67,0.917538448,-3.582089552,6.970149254,-3.58019554,6.966830491,1983.728849,1950.723698,2026.97468,124.7209818,109.7168736,132.2627566,,,,
,3,2460649.668,2024-12-05T04:01:18.000,656,0.9842667,-6.172256098,60.11432927,-6.146964398,60.3112832,2003.00773,1950.071671,2223.007167,119.5001497,95.7293639,144.3197519,,,,
,4,2460649.73,2024-12-05T05:31:45.600,8,0.912870929,-3,114.5,-2.998239751,114.499842,1960.772143,1950.379086,1971.483707,121.5554926,117.5982079,124.3955125,,,,
3,5,2460649.754,2024-12-05T06:05:36.122,15,0.833306921,9.266666667,133.4,9.265535661,133.4043381,1978.826751,1954.046946,2011.431488,138.8802899,107.9470214,159.4125176,,,,
,6,2460649.791,2024-12-05T06:59:42.000,2,1,-14,171.5,-14,171.4990054,1957.685883,1953.791606,1961.580159,92.76363421,91.47924355,94.04802487,,,,
,7,2460649.799,2024-12-05T07:10:09.000,9,0.69458752,0.888888889,177.3333333,0.888615081,177.3319714,1960.546573,1951.205319,1980.261227,125.9220638,119.26201,134.5887567,,,,
4,8,2460649.799,2024-12-05T07:10:09.000,13,0.819005025,6,182.4615385,6.001275686,182.4630393,1968.810585,1950.460496,1986.217661,139.3139958,124.9084896,145.8108995,,,,
,9,2460649.806,2024-12-05T07:20:36.000,18,0.995607887,-13.83333333,191.9444444,-13.83492214,191.9518558,1974.878108,1950.656844,2002.300885,93.56362344,89.39591857,96.6698056,,,,
,10,2460649.813,2024-12-05T07:31:03.000,51,0.914435195,-2.921568627,206.9411765,-2.925755195,206.9329948,1983.085093,1950.757284,2040.306778,124.5450444,104.6487915,136.7524727,,,,
,11,2460649.591,2024-12-05T02:10:45.000,1,0,-3,345,-3,345,1955.593424,1955.593424,1955.593424,122.3666503,122.3666503,122.3666503,,,,
,12,2460649.591,2024-12-05T02:10:45.000,1,0,15,346,15,346,1954.533746,1954.533746,1954.533746,72.88475084,72.88475084,72.88475084,,,,
,13,2460649.591,2024-12-05T02:10:45.000,176,0.252738838,-6.579545455,353.9659091,-6.563480836,353.9941852,1990.458117,1950.854034,2058.743784,112.7829018,95.13585816,130.118033,,,,
1,1,2460681.649,2025-01-06T03:34:32.400,93,0.509287789,9.64516129,56.35483871,9.632211293,56.35251609,1998.662249,1951.322336,2086.215217,126.0461618,81.20927872,160.3461536,,,,
,2,2460681.694,2025-01-06T04:39:03.857,744,0.872310043,-4.306451613,92.90860215,-4.289758051,92.96005995,2013.805028,1950.021128,2166.360426,113.5245658,69.1095917,152.4949203,,,,
,3,2460681.744,2025-01-06T05:50:48.000,197,0.922582066,-8.52284264,140.0050761,-8.500308778,139.9767173,1994.575097,1950.021316,2108.797947,114.4762619,101.7470351,133.394758,,,,
3,4,2460681.751,2025-01-06T06:01:11.000,31,0.610174924,10.09677419,146.8709677,10.09489161,146.8650385,1983.791449,1950.054842,2025.720457,123.5000631,86.8879063,156.2061758,,,,
,5,2460681.767,2025-01-06T06:24:46.588,1,0,0,162,0,162,1950.00027,1950.00027,1950.00027,135.7198841,135.7198841,135.7198841,,,,
,6,2460681.772,2025-01-06T06:32:09.600,8,0.851469318,-3.625,169.875,-3.625451077,169.8750942,1957.539029,1952.364832,1962.120791,130.1660065,124.2572615,134.5356994,,,,
,7,2460681.774,2025-01-06T06:34:06.419,1,0,-5,173,-5,173,1950.506058,1950.506058,1950.506058,120.9422619,120.9422619,120.9422619,,,,
4,8,2460681.775,2025-01-06T06:36:14.634,6,0.790569415,6.5,175,6.500312847,174.9985781,1962.896059,1951.244104,1972.269279,152.9662062,148.2767014,156.0188254,,,,
,9,2460681.801,2025-01-06T07:14:00.000,3,1,-11,219,-10.99652374,219,1964.8871,1951.599418,1972.09078,122.1175209,118.4837827,128.2367739,,,,
,10,2460681.56,2025-01-06T01:26:18.000,2,1,15,333.5,15,333.4998467,1951.76356,1951.165016,1952.362105,85.91048424,84.86727082,86.95369765,,,,
10,11,2460681.56,2025-01-06T01:26:18.000,5,0.938083152,10.8,333.8,10.80041204,333.7998932,1953.362326,1950.947328,1955.621706,98.47363084,93.1419537,102.8565311,,,,
,1,2460692.669,2025-01-17T04:03:57.000,6,0.87038828,-3.166666667,2,-3.165739956,1.998506966,1958.303228,1952.778157,1963.458466,119.2087416,118.0685298,120.4580549,,,,
,2,2460692.669,2025-01-17T04:03:57.000,2,1,15,5.5,15,5.498973718,1957.208053,1953.190756,1961.225349,83.62993549,83.61958324,83.64028774,,,,
,3,2460692.669,2025-01-17T04:03:57.000,14,0.910807449,8.357142857,9,8.357764741,8.998983138,1956.675125,1951.243845,1964.699701,120.9793765,109.9603005,128.9450229,,,,
,4,2460692.669,2025-01-17T04:03:57.000,86,0.947834658,-11.38372093,9.476744186,-11.38596566,9.479318,1972.832159,1950.744232,2005.361883,100.1636898,92.77982815,110.8763733,,,,
,5,2460692.685,2025-01-17T04:26:50.000,1,0,-10,22,-10,22,1950.244035,1950.244035,1950.244035,99.64238065,99.64238065,99.64238065,,,,
1,6,2460692.496,2025-01-16T23:54:55.200,1,0,9,63,9,63,1956.12675,1956.12675,1956.12675,115.1826953,115.1826953,115.1826953,,,,
,7,2460692.277,2025-01-16T18:38:56.870,59,0.908737733,-5.305084746,88.47457627,-5.306017888,88.47762576,1965.106117,1950.564441,1988.096888,121.3739647,112.9160774,129.9509462,,,,
,8,2460692.034,2025-01-16T12:49:21.176,6,0.790569415,9,107.5,9.000060052,107.4997507,1952.116152,1950.206406,1955.289636,127.6765677,121.4519621,133.3027401,,,,
,9,2460692.068,2025-01-16T13:38:30.079,1,0,8,110,8,110,1952.911071,1952.911071,1952.911071,128.8005857,128.8005857,128.8005857,,,,
,10,2460692.074,2025-01-16T13:46:16.923,1,0,6,113,6,113,1954.516861,1954.516861,1954.516861,132.4113119,132.4113119,132.4113119,,,,
2,11,2460692.066,2025-01-16T13:35:06.390,13,0.901180409,8.307692308,114.5384615,8.307609769,114.5380885,1956.027188,1950.570948,1961.461626,123.9697985,115.5408417,128.6705283,,,,
,12,2460692.019,2025-01-16T12:27:06.000,1,0,10,117,10,117,1950.466901,1950.466901,1950.466901,110.3210117,110.3210117,110.3210117,,,,
,13,2460691.793,2025-01-16T07:02:35.000,1,0,-7,144,-7,144,1952.810833,1952.810833,1952.810833,110.5596982,110.5596982,110.5596982,,,,
,14,2460691.632,2025-01-16T03:10:46.800,2,1,-2.5,184,-2.499743662,184,1952.758937,1951.757805,1953.760069,124.7342014,123.5511899,125.9172129,,,,
,15,2460691.639,2025-01-16T03:20:29.765,320,0.984980486,-10.184375,188.446875,-10.18645143,188.4680222,1984.004944,1950.146768,2070.772453,105.6944382,91.33367021,125.173882,,,,
,16,2460692.041,2025-01-16T12:58:27.000,19,0.796950462,-4.421052632,263,-4.422096844,262.9995524,1960.710317,1950.205688,1974.453861,126.2790893,121.9318883,129.503803,,,,
,17,2460692.073,2025-01-16T13:44:44.966,1,0,-8,274,-8,274,1951.846366,1951.846366,1951.846366,114.1213768,114.1213768,114.1213768,,,,
,18,2460692.199,2025-01-16T16:46:15.031,279,0.897755579,-7.698924731,293.7634409,-7.703019104,293.7874283,1988.834048,1950.19894,2037.052417,120.5528617,108.8536138,135.2502484,,,,
