Tag,label,jd_time,fits_time,area,eccentricity,centroid_lat,centroid_lon,weighted_centroid_lat_seg,weighted_centroid_lon_seg,seg_intensity_mean,seg_intensity_min,seg_intensity_max,intensity_mean,intensity_min,intensity_max,Threshold,HW,Boxcar,Fit
7,6,2460647.388,2024-12-02T21:18:27.429,59,0.941614478,3.525423729,238.8305085,3.53,238.83,139.37,135,144.84,1819.25,1742.95,1859.76,,,,
B,7,2460647.327,2024-12-02T19:51:01.227,2,1,4.5,248,4.5,248,135.49,135.33,135.65,1808.24,1803.88,1812.6,,,,
8,8,2460646.648,2024-12-02T03:33:01.773,34,0.643767557,4.705882353,279.6470588,4.71,279.64,139.02,135.07,142.77,1823.46,1735.86,1879.13,,,,
1,1,2460649.642,2024-12-05T03:24:00.000,119,0.921101088,4.899159664,32.60504202,4.92,32.63,147.9,135.06,165.58,1832.64,1702.37,1919.58,135,45,9,35.66994494
,2,2460649.668,2024-12-05T04:01:18.000,17,0.703818133,-2.705882353,62.11764706,-2.71,62.12,136.27,135.04,137.98,2083.66,1990.45,2127.81,,,,
,3,2460649.696,2024-12-05T04:42:37.535,215,0.917203591,0.88372093,81.42325581,0.89,81.43,138.84,135.03,144.32,1937.35,1673.23,2223.01,,,,
,4,2460649.715,2024-12-05T05:09:35.571,1,0,3,95,3,95,135,135,135,1886.82,1886.82,1886.82,,,,
3,5,2460649.751,2024-12-05T06:01:05.265,127,0.869008008,5.102362205,131.2125984,5.16,131.23,147.38,135.18,164.3,1790.29,1605.71,2011.43,,,,
4,6,2460649.799,2024-12-05T07:10:09.000,40,0.91906934,4.875,179.65,4.88,179.66,139.91,135.17,145.81,1912.02,1785.08,1986.22,,,,
5,7,2460649.813,2024-12-05T07:31:03.000,112,0.955306714,4.116071429,205.4375,4.13,205.44,143.75,135.22,155.42,1840.14,1624.86,1985.29,,,,
,8,2460649.82,2024-12-05T07:41:30.000,1,0,4,223,4,223,135.19,135.19,135.19,1698.72,1698.72,1698.72,,,,
,9,0,-04713-11-24T12:00:00.000,19,0.859235655,3.631578947,228.5263158,3.62,228.55,141.17,135.65,147.02,1682.92,1606.52,1727.53,,,,
1,1,2460681.644,2025-01-06T03:26:58.235,113,0.883484373,5.575221239,52.27433628,5.6,52.29,146.84,135.52,161.26,1890.8,1639.24,2086.22,135,45,9,48.80984796
2,2,2460681.696,2025-01-06T04:42:25.200,106,0.954113215,5.311320755,100.990566,5.32,100.98,143.89,135,152.49,2015.96,1738.22,2166.36,,,,
3,3,2460681.749,2025-01-06T05:58:07.765,156,0.798952933,3.320512821,144.474359,3.38,144.44,146.66,135.01,164.63,1808.06,1548.52,2019.44,,,,
4,4,2460681.773,2025-01-06T06:33:06.682,133,0.88932603,3.097744361,171.518797,3.16,171.58,143.17,135.08,157.79,1868.29,1668.67,1972.27,,,,
5,5,2460681.796,2025-01-06T07:05:38.400,173,0.968047367,3.988439306,212.7514451,4.02,212.68,145.65,135.05,165.62,1780.92,1584.35,1877.25,,,,
,6,2460681.545,2025-01-06T01:05:24.000,99,0.754052063,2.888888889,292.3535354,2.93,292.27,143.76,135.05,159.59,1806.89,1676.82,1922.33,,,,
,7,2460681.56,2025-01-06T01:26:18.000,1,0,4,330,4,330,135.68,135.68,135.68,1817.55,1817.55,1817.55,,,,
,1,2460692.669,2025-01-17T04:03:57.000,1,0,4,9,4,9,135.57,135.57,135.57,1887.51,1887.51,1887.51,,,,
1,2,2460692.513,2025-01-17T00:18:04.909,146,0.83449439,3.602739726,55.43835616,3.64,55.45,145.14,135.05,159.26,1844.36,1737.84,1937.35,135,45,9,53.27253952
2,3,2460692.127,2025-01-16T15:03:14.348,85,0.953737063,3.941176471,100.8235294,3.94,100.81,136.66,135.02,140.38,1896.43,1845.43,1938.33,,,,
4,4,2460691.805,2025-01-16T07:19:15.500,83,0.886409089,3,175.9759036,3.01,175.97,139.05,135,143.6,1884.9,1794.71,1943.44,,,,
5,5,2460691.667,2025-01-16T04:00:43.317,48,0.95958723,4.395833333,217.875,4.4,217.86,140.19,135.08,146.09,1801.99,1768.51,1836.9,,,,
,6,2460691.806,2025-01-16T07:20:40.653,1,0,4,229,4,229,135.94,135.94,135.94,1821.48,1821.48,1821.48,,,,
7,7,2460692.038,2025-01-16T12:54:47.206,186,0.989900355,3.989247312,255.8010753,4,255.92,140.74,135.01,151.5,1861.16,1789.62,1934.97,,,,
8,8,2460692.142,2025-01-16T15:25:01.390,114,0.834786561,3.087719298,290.1666667,3.12,290.16,140.71,135.01,147.9,1874.74,1799.89,1955.2,,,,
,9,2460692.268,2025-01-16T18:26:24.828,1,0,0,323,0,323,135.2,135.2,135.2,1907.07,1907.07,1907.07,,,,
Z,10,2460692.307,2025-01-16T19:21:32.250,47,0.905612364,3.212765957,331.2553191,3.21,331.26,135.89,135.05,137.28,1803.04,1744.56,1889.61,,,,
,1,2460702.57,2025-01-27T01:40:12.000,2,1,1,37.5,1,37.5,137.23,136.73,137.72,1874.75,1868.84,1880.66,,,,
,2,2460702.57,2025-01-27T01:40:12.000,1,0,-1,38,-1,38,135.35,135.35,135.35,1900.27,1900.27,1900.27,,,,
,3,2460702.575,2025-01-27T01:47:39.857,1,0,3,40,3,40,136.38,136.38,136.38,1818.27,1818.27,1818.27,,,,
1,4,2460702.584,2025-01-27T02:01:06.000,215,0.925521351,4.846511628,57.0372093,4.9,57.14,153.31,135.23,177.48,1865.42,1682.84,2061.53,135,45,9,57.40786869
2,5,2460702.618,2025-01-27T02:50:20.471,165,0.938859133,5.03030303,105.4060606,5.05,105.36,148.34,135.05,171,1920.54,1794.59,2027.33,,,,
,6,2460702.686,2025-01-27T04:28:07.500,309,0.985827255,3.145631068,163.0032362,3.18,163.1,143.28,135.03,161.46,1867.66,1625.9,2048.73,,,,
,7,2460702.731,2025-01-27T05:32:34.269,61,0.974783292,0.885245902,203.5737705,0.89,203.61,137.2,135.09,141.23,1789.53,1696.91,1863.04,,,,
,8,2460702.764,2025-01-27T06:20:37.200,1,0,3,235,3,235,135.8,135.8,135.8,1793.27,1793.27,1793.27,,,,
W?,9,2460702.769,2025-01-27T06:26:54.000,14,0.805699108,3.5,238.7857143,3.5,238.78,136.38,135.24,138.2,1817.14,1795.19,1836.6,,,,
X?,10,2460702.79,2025-01-27T06:58:18.000,237,0.810839095,-0.983122363,277.6244726,-0.93,277.65,142.07,135.05,156.03,1984.4,1862.53,2129.88,,,,
,1,2460703.752,2025-01-28T06:03:12.000,25,0.708915335,-0.24,2.88,-0.24,2.86,137.82,135.12,142.51,1912.8,1831.23,2000.47,,,,
,2,2460703.759,2025-01-28T06:13:39.000,17,0.876453732,3.705882353,14.58823529,3.71,14.59,136.18,135.31,138.44,1853.39,1808.94,1933.49,,,,
,3,2460703.764,2025-01-28T06:20:01.317,24,0.925255137,1.583333333,23.875,1.58,23.88,136.27,135.03,139.4,1856.96,1816.54,1877.81,,,,
,4,2460703.767,2025-01-28T06:24:06.000,1,0,-2,30,-2,30,135.37,135.37,135.37,1859.79,1859.79,1859.79,,,,
1,5,2460703.781,2025-01-28T06:45:00.000,128,0.900572072,3.875,57.703125,3.89,57.74,145.21,135.03,159.92,1828.92,1718.67,2016.84,135,45,9,57.89941423
3,6,2460703.522,2025-01-28T00:31:12.000,25,0.977068128,4.2,148.76,4.2,148.76,137.21,135,142.96,1754.34,1614.38,1871.66,,,,
4,7,2460703.536,2025-01-28T00:51:19.615,34,0.892926012,5.088235294,171.8823529,5.09,171.89,138.41,135.1,143.43,1788.36,1682.43,1895.98,,,,
W,8,2460703.59,2025-01-28T02:09:31.385,20,0.916123574,4.25,237.9,4.25,237.91,136.59,135.09,139.1,1811.05,1770.36,1845.53,,,,
X,9,2460703.625,2025-01-28T03:00:32.400,36,0.867955839,4.583333333,270.1388889,4.59,270.14,137.57,135.03,140.87,1821.87,1797.43,1838.91,,,,
Y,10,2460703.657,2025-01-28T03:46:18.698,4,0.960659402,3.75,297,3.75,297,135.37,135.11,135.84,1817.41,1781.94,1835.82,,,,
Z,11,2460703.701,2025-01-28T04:50:01.500,81,0.912489289,3.592592593,337.654321,3.6,337.64,142.2,135.11,153.05,1876.51,1765.64,1978.5,,,,
1,1,2460704.617,2025-01-29T02:48:19.200,211,0.906816025,4.473933649,58.39810427,4.54,58.46,152.31,135.01,179.11,1882.8,1736.26,2050.81,135,45,9,58.2425238
2,2,2460704.665,2025-01-29T03:56:59.864,224,0.894422294,3,106.2857143,3.08,106.36,149.02,135.13,171.19,1927.06,1778.35,2092.34,,,,
3,3,2460704.719,2025-01-29T05:15:30.235,91,0.922433099,3.10989011,150.4505495,3.13,150.43,139.84,135.09,147.21,1829.93,1629.16,2011.43,,,,
4,4,2460704.745,2025-01-29T05:52:05.182,102,0.854844569,3.18627451,176.2254902,3.21,176.26,145.44,135.06,159.48,1855.47,1625.11,2025.57,,,,
,5,2460704.77,2025-01-29T06:28:42.000,1,0,-4,209,-4,209,135.92,135.92,135.92,1862.43,1862.43,1862.43,,,,
5,6,2460704.771,2025-01-29T06:29:55.765,158,0.796292488,0.101265823,214.7974684,0.12,214.8,139.86,135.02,149.36,1786.91,1667.56,1911.18,,,,
,7,2460704.772,2025-01-29T06:31:18.750,1,0,-7,216,-7,216,135.03,135.03,135.03,1918.59,1918.59,1918.59,,,,
,8,2460704.784,2025-01-29T06:49:36.000,1,0,-8,234,-8,234,136.07,136.07,136.07,1925.39,1925.39,1925.39,,,,
,9,2460704.784,2025-01-29T06:49:36.000,2,1,-6,235.5,-6,235.49,137.14,135.53,138.76,1882.53,1876.24,1888.82,,,,
6,10,2460704.784,2025-01-29T06:49:36.000,202,0.855067949,0.896039604,237.5643564,0.96,237.74,144.23,135,161.84,1762.19,1619.73,1914.56,,,,
,11,0,-04713-11-24T12:00:00.000,1,0,5,303,5,303,135.68,135.68,135.68,1700.83,1700.83,1700.83,,,,
,12,0,-04713-11-24T12:00:00.000,3,1,0,303,0.01,303,136.48,135.71,137.94,1789.73,1764.05,1812.92,,,,
,13,0,-04713-11-24T12:00:00.000,1,0,3,306,3,306,135.35,135.35,135.35,1743.67,1743.67,1743.67,,,,
Z,14,2460704.536,2025-01-29T00:52:03.000,128,0.872885341,3.265625,335.2109375,3.28,335.2,140.9,135,150.45,1843.56,1680.14,1962.02,,,,
1,1,2460736.614,2025-03-02T02:44:28.500,132,0.834255803,4.21969697,69.6969697,4.23,69.7,146.22,135.25,156.38,1786.52,1683.84,1849.14,135,45,9,71.38048345
2,2,2460736.677,2025-03-02T04:15:09.600,110,0.747546204,3.609090909,120.2,3.62,120.2,143.28,135.01,152.27,1901.01,1824.49,1979.99,,,,
3,3,2460736.694,2025-03-02T04:38:49.200,304,0.869516585,3.358552632,154.9769737,3.48,154.73,154.42,135.16,189.73,1875.53,1743.46,1960.69,,,,
