Label,Extrema_Type,Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
RGB,maxima,3,2025-01-27T01:50:39.000,2460702.5768402778,20,313,-5,47,118.2236875380079,1857.4766086146612,0.615686297416687
RGB,maxima,4,2025-01-27T01:50:39.000,2460702.5768402778,10,309,5,51,163.66585163546912,1711.531093712449,0.5871148662907737
RGB,maxima,5,2025-01-27T01:58:29.250,2460702.582282986,17,306,-2,54,128.31171967772116,1908.0101491252146,0.6078431606292725
RGB,maxima,6,2025-01-27T02:01:06.000,2460702.584097223,12,297,3,63,157.13425599317497,1899.2954765307916,0.6256930581454572
RGB,maxima,7,2025-01-27T02:01:06.000,2460702.584097223,20,297,-5,63,111.17663462671082,1907.853777768199,0.621230583766411
RGB,maxima,8,2025-01-27T02:11:34.500,2460702.591371528,24,289,-9,71,100.28080885412382,1971.7393765429506,0.5813725739717484
RGB,maxima,9,2025-01-27T02:11:34.500,2460702.591371528,18,286,-3,74,114.72856298811682,1929.6500007280035,0.6450980603694916
RGB,maxima,10,2025-01-27T02:11:34.500,2460702.591371528,8,282,7,78,97.12194397427126,1816.4820176931053,0.6750000163912773
RGB,maxima,11,2025-01-27T02:22:02.400,2460702.5986388894,21,274,-6,86,106.56493334733008,1966.9148111488198,0.5803921759128571
RGB,maxima,12,2025-01-27T02:29:25.412,2460702.6037663403,18,268,-3,92,119.15315080473388,2010.052767511417,0.5743944890358869
RGB,maxima,13,2025-01-27T02:49:14.040,2460702.617523611,22,256,-7,104,104.0971126991812,2019.6614449824617,0.5516078668832779
RGB,maxima,14,2025-01-27T02:54:24.226,2460702.6211137315,11,252,4,108,155.0586100814473,1896.2327388836566,0.6139104928610459
RGB,maxima,15,2025-01-27T03:03:52.800,2460702.6276944443,21,246,-6,114,106.20080508798611,2023.671141792291,0.5527743265983907
RGB,maxima,16,2025-01-27T03:03:52.800,2460702.6276944443,14,240,1,120,117.96772228516393,1934.900190376436,0.5600000143051147
RGB,maxima,17,2025-01-27T03:14:21.000,2460702.6349652777,8,235,7,125,92.43341371335248,1807.2170736557832,0.7295009073886004
RGB,maxima,18,2025-01-27T03:22:30.878,2460702.640635163,22,234,-7,126,97.32048666431739,1859.0313000130034,0.6259358457543633
RGB,maxima,19,2025-01-27T03:28:45.409,2460702.6449700124,20,226,-5,134,110.68261583041104,1802.468066113601,0.6685383441773327
RGB,maxima,20,2025-01-27T03:49:14.512,2460702.6591957365,8,219,7,141,119.27822134621319,1588.1184743139856,0.6292335336858575
RGB,maxima,21,2025-01-27T04:15:27.600,2460702.677402778,21,204,-6,156,111.30703067293257,1894.8927041754996,0.5796078622341156
RGB,maxima,22,2025-01-27T04:15:27.600,2460702.677402778,7,203,8,157,102.28732180630112,1744.5104171509993,0.6494117796421051
RGB,maxima,23,2025-01-27T04:38:18.136,2460702.693265467,10,193,5,167,136.33583058898918,1635.8948103118266,0.5924242667176506
RGB,maxima,24,2025-01-27T04:39:19.200,2460702.693972222,20,190,-5,170,113.96124280637726,1910.4043710985309,0.545882374048233
RGB,maxima,25,2025-01-27T04:52:43.500,2460702.70328125,14,184,1,176,140.57416811082624,1826.9469546618407,0.5462567061185837
RGB,maxima,26,2025-01-27T05:09:27.720,2460702.7149041668,9,170,6,190,106.3180245914306,1756.4263070693378,0.6134902161359788
RGB,maxima,27,2025-01-27T05:15:39.808,2460702.7192107374,20,165,-5,195,125.5667905947646,1902.093605322272,0.5094268717444861
RGB,maxima,28,2025-01-27T05:30:23.880,2460702.7294430556,20,158,-5,202,127.64657902135045,1900.5170647496552,0.5049411952495575
RGB,maxima,29,2025-01-27T05:45:02.400,2460702.739611111,19,148,-4,212,115.2507387890446,1839.7094231098883,0.5095686429738998
RGB,maxima,30,2025-01-27T05:52:25.412,2460702.7447385625,12,144,3,216,120.7942723965784,1717.697420230767,0.513956185649423
RGB,maxima,31,2025-01-27T06:05:57.600,2460702.7541388893,20,137,-5,223,101.99962231822249,1809.0261674326985,0.5105242200043736
RGB,maxima,32,2025-01-27T06:05:57.600,2460702.7541388893,9,133,6,227,110.05024517519458,1700.2886450163965,0.5202881249846244
RGB,maxima,33,2025-01-27T06:26:54.000,2460702.7686805557,18,120,-3,240,115.21853234889048,1869.5501132416146,0.5035294175148011
RGB,maxima,34,2025-01-27T06:37:22.500,2460702.775954861,8,110,7,250,103.99432606500896,1728.0811029559568,0.5245852378698496
RGB,maxima,35,2025-01-27T06:37:22.500,2460702.775954861,19,107,-4,253,109.37754195190905,1913.1898287756376,0.5166666880249977
RGB,maxima,36,2025-01-27T06:47:50.000,2460702.7832175926,18,94,-3,266,120.94441941501543,1905.180703962996,0.5163398881753286
RGB,minima,0,N/A,0.0,12,336,3,24,115.35000444998781,1733.7670419310377,0.4627451002597809
RGB,minima,1,2025-01-27T01:40:12.000,2460702.5695833336,6,332,9,28,91.67316561940595,1662.4358537158319,0.40392157435417175
RGB,minima,2,2025-01-27T01:49:20.625,2460702.5759331603,4,318,11,42,88.15675428570869,1690.7363660617127,0.44117647409439087
RGB,minima,3,2025-01-27T02:08:43.091,2460702.5893876264,7,293,8,67,144.85439714669354,2043.034980174897,0.37147950855168427
RGB,minima,4,2025-01-27T02:20:05.581,2460702.5972868223,4,279,11,81,88.1667385852805,1827.4073548280278,0.3954400427119677
RGB,minima,5,2025-01-27T02:22:02.400,2460702.5986388894,13,275,2,85,126.70009208717877,1949.7973122665062,0.4745098173618317
RGB,minima,6,2025-01-27T02:29:25.412,2460702.6037663403,4,268,11,92,92.63117447586316,1788.6567715952317,0.4020761304041918
RGB,minima,7,2025-01-27T02:33:29.208,2460702.6065880503,14,264,1,96,130.23817915594026,1960.2792098958223,0.46378099131134315
RGB,minima,8,2025-01-27T02:50:20.471,2460702.618292484,7,255,8,105,155.50978173189088,1970.66458501495,0.38246828843565545
RGB,minima,9,2025-01-27T02:56:29.647,2460702.62256536,15,250,0,110,124.4959535342124,1938.7485078600532,0.479815472574795
